P1,N1,t1,P2,N2,t2,P3,N3,t3,charge_capacity_mAh_g,discharge_capacity_mAh_g
0.5,60,1.0,1.8,20,2,0,0,0,65.2,435.6
0.95,60,1.0,2.5,20,2,0,0,0,83.2,474.9
0.95,60,1.0,2.5,20,2,4,5,2,168.5,554.4
0.95,60,1.0,2.5,20,2,4,1,2,74.2,433.1
0.95,60,1.0,2.5,20,2,4,3,2,100.6,504.2
0.95,60,1.0,2.5,20,2,4,10,2,156.0,539.9
0.95,60,1.0,2.5,20,2,4,15,2,96.2,435.3
0.95,60,1.0,2.5,20,2,4,30,2,102.5,322.0
0.95,60,1.0,2.5,20,2,4,5,1,87.4,488.4
0.95,60,1.0,2.5,20,2,4,5,4,245.4,474.7
0.95,60,1.0,2.5,20,2,4,5,6,191.8,478.8
0.95,60,1.0,2.5,20,2,4,4,8,192.1,361.2
0.95,60,1.0,2.5,20,2,4,10,1,78.8,447.1
0.95,60,1.0,2.5,20,2,4,8,4,183.3,425.8
0.95,60,0.5,2.5,20,2,4,5,4,178.4,377.55
0.6,60,2.0,2.5,20,4,4,5,4,196.5,410.3
0.5,1,60.0,2.5,20,2,4,5,4,145.2,521.2
0.8,60,1.0,2.5,20,2,5,5,2,153.0,385.3
0.8,60,1.0,2.5,20,2,5,5,1,92.5,472.7
0.6,60,1.0,2.5,20,2,4,5,4,241.1,502.4
0.8,60,1.0,2.5,20,2,4,5,4,287.4,529.0
0.95,60,1.0,2.5,20,2,4,5,4,245.4,474.7
0.8,40,1.0,2.5,20,2,4,5,4,124.6,377.2
0.8,80,1.0,2.5,20,2,4,5,4,141.3,391.3
0.95,20,1.0,2.5,20,2,4,5,4,193.0,422.3
0.95,40,1.0,2.5,20,2,4,5,4,240.2,457.4
0.8,60,2.0,2.5,20,2,4,5,4,163.3,505.3
0.6,60,2.0,2.5,20,2,4,5,4,170.6,398.7
0.6,60,4.0,2.5,20,2,4,5,4,192.4,449.3
0.8,60,1.0,2.0,20,2,4,5,4,275.2,481.8
0.8,60,1.0,2.5,10,2,4,5,4,240.5,463.6
0.8,60,1.0,2.5,30,2,4,5,4,308.3,574.5
0.8,60,1.0,2.5,20,4,4,5,4,196.4,428.2
